u,v,key,osmid,highway,lanes,maxspeed,oneway,ref,reversed,length,geometry,name,bridge,access,tunnel,junction
83893736,331943397,0,10163398,residential,,,FALSE,,TRUE,124.7409941,"LINESTRING (-73.4906377 41.3944848, -73.4912293 41.3934545)",Sand Road,,,,
83893853,94378052,0,"[179221038, 30121073, 179221009]",motorway_link,1,,TRUE,,FALSE,497.1476568,"LINESTRING (-73.5255226 41.3916314, -73.5252055 41.391363, -73.5250674 41.391251, -73.5249679 41.3911691, -73.5247676 41.3910052, -73.5245982 41.3908639, -73.5242265 41.3905523, -73.52368 41.3900932, -73.5231761 41.389665, -73.5229398 41.3894603, -73.522871 41.3894021, -73.5227892 41.3893338, -73.5226693 41.3892346, -73.5225297 41.3891247, -73.5223905 41.3890205, -73.5222428 41.3889159, -73.5215597 41.3884318, -73.5214586 41.3883657)",,yes,,,
83893853,94375756,0,296741145,motorway_link,1,,TRUE,,FALSE,246.9663474,"LINESTRING (-73.5255226 41.3916314, -73.5251926 41.3913791, -73.5250402 41.3912797, -73.5248836 41.3911935, -73.5246975 41.3911042, -73.5245053 41.3910238, -73.5243207 41.3909556, -73.5241154 41.390888, -73.5239129 41.3908315, -73.5229593 41.3905907)",,,,,
83893862,1783208251,0,"[94694866, 660071223]",primary,2,35 mph,FALSE,US 6;US 202,FALSE,1345.897486,"LINESTRING (-73.5209858 41.3919214, -73.5210789 41.3919007, -73.5211653 41.3918838, -73.5212485 41.3918687, -73.5213088 41.391859, -73.5213705 41.39185, -73.5214613 41.3918381, -73.5215469 41.391828, -73.5216896 41.3918146, -73.5218233 41.3918049, -73.5219658 41.3917997, -73.522179 41.3917986, -73.5224319 41.3918046, -73.5226894 41.3918332, -73.5229515 41.3918775, -73.523196 41.3919291, -73.523428 41.3919869, -73.5236531 41.3920578, -73.5238952 41.3921265, -73.5241069 41.3921874, -73.5243671 41.3922618, -73.524562 41.3923179, -73.5249008 41.3924161, -73.5251798 41.3924976, -73.525631 41.3926307, -73.5258174 41.3926846, -73.52651 41.3928829, -73.5268644 41.392983, -73.5271631 41.3930553, -73.5274498 41.3931264, -73.5277487 41.3931893, -73.5280381 41.3932364, -73.5283328 41.3932715, -73.5286296 41.3932933, -73.5289124 41.393302, -73.5292069 41.3933028, -73.529489 41.3932962, -73.5297671 41.3932787, -73.5300451 41.3932488, -73.5322388 41.3929951, -73.5325224 41.3929618, -73.5327957 41.3929276, -73.5330571 41.3928897, -73.5333104 41.3928436, -73.5335512 41.3927916, -73.5337792 41.3927324, -73.5340394 41.3926606, -73.5346733 41.3924842, -73.5350178 41.3923897, -73.5360402 41.3920977, -73.5363829 41.3920003, -73.5365123 41.391963)",Mill Plain Road,,,,
83893862,889168944,0,660071222,tertiary,4,,FALSE,,TRUE,43.85095866,"LINESTRING (-73.5209858 41.3919214, -73.5209779 41.391817, -73.5209773 41.3917771, -73.520979 41.3917505, -73.5209825 41.3917226, -73.5209887 41.3916971, -73.5209985 41.3916711, -73.5210135 41.3916453, -73.5210324 41.3916199, -73.5210554 41.391595, -73.5210788 41.3915739, -73.5211043 41.3915544)",Milestone Road,,,,
83893862,84048445,0,"[660071259, 660071260]",primary,2,,FALSE,US 6;US 202,FALSE,173.3181092,"LINESTRING (-73.5209858 41.3919214, -73.520906 41.3919405, -73.5208188 41.3919633, -73.5207302 41.3919913, -73.5206415 41.3920224, -73.5205454 41.3920568, -73.5204125 41.3921076, -73.5202806 41.3921619, -73.5201605 41.3922142, -73.5200309 41.3922715, -73.5198066 41.3923694, -73.5195726 41.3924716, -73.5193786 41.3925564, -73.5192559 41.3926092, -73.5191554 41.3926525)",Mill Plain Road,,,,
83893878,7463666961,0,30115793,tertiary,,,FALSE,,FALSE,5.658441743,"LINESTRING (-73.5250501 41.3835015, -73.5249855 41.383517)",Woodland Road,,,,
83893878,331853587,0,30115793,tertiary,,,FALSE,,TRUE,585.4975263,"LINESTRING (-73.5250501 41.3835015, -73.525154 41.3834731, -73.5252491 41.3834469, -73.5253411 41.3834195, -73.5254364 41.3833885, -73.5255229 41.3833592, -73.5256185 41.3833247, -73.5257127 41.3832886, -73.5258056 41.3832495, -73.5258977 41.3832096, -73.5259822 41.3831713, -73.5260738 41.3831272, -73.5261681 41.3830792, -73.5262506 41.3830356, -73.5263351 41.382987, -73.5264239 41.3829348, -73.5265016 41.3828866, -73.5270551 41.3825258, -73.5271479 41.3824671, -73.5272269 41.3824194, -73.5273115 41.3823715, -73.5273993 41.3823249, -73.527482 41.3822855, -73.5275764 41.3822447, -73.5276652 41.3822089, -73.5277586 41.3821724, -73.5278639 41.3821323, -73.5279603 41.3820952, -73.5280593 41.3820537, -73.5281512 41.3820109, -73.5282415 41.3819665, -73.5283211 41.3819255, -73.5284074 41.3818786, -73.5284846 41.3818353, -73.5285666 41.3817872, -73.5286358 41.3817447, -73.5287033 41.3816986, -73.5287614 41.3816546, -73.5288147 41.3816122, -73.5288657 41.3815695, -73.5289193 41.3815205, -73.5289705 41.3814704, -73.5290154 41.3814228, -73.5290526 41.3813789, -73.5290957 41.3813251, -73.529136 41.3812721, -73.5291673 41.3812284, -73.5292 41.3811789, -73.5292315 41.3811261, -73.5292641 41.3810641, -73.5292934 41.3810011, -73.5293268 41.3809201, -73.529352 41.3808476, -73.5293733 41.3807772, -73.5293886 41.3807168, -73.5294666 41.3804009, -73.5294808 41.3803475, -73.5294962 41.3802953, -73.5295154 41.3802387, -73.5295386 41.3801829, -73.5295643 41.3801316, -73.5295927 41.3800813, -73.5296247 41.3800305, -73.5296621 41.3799762, -73.529705 41.379921)",Woodland Road,,,,
83893878,6180014739,0,660071265,residential,,,TRUE,,FALSE,115.2329618,"LINESTRING (-73.5250501 41.3835015, -73.5249294 41.3833212, -73.5248449 41.3832558, -73.5247591 41.3832166, -73.5244171 41.3830888, -73.5242508 41.3830133, -73.5239911 41.3828809)",Headquarters Road,,,,
83893886,7463666955,0,1304734963,tertiary,,,TRUE,,FALSE,11.70231676,"LINESTRING (-73.5224805 41.3838919, -73.5223406 41.3838995)",Woodland Road,,,,
