osmid,y,x,street_count,highway,ref,geometry
1792532221,41.4321058,-73.5133852,3,,,POINT (-73.5133852 41.4321058)
1792532224,41.431878,-73.5133334,3,,,POINT (-73.5133334 41.431878)
1792533385,41.4162008,-73.512193,1,turning_circle,,POINT (-73.512193 41.4162008)
1792535557,41.4228346,-73.4798415,1,turning_circle,,POINT (-73.4798415 41.4228346)
1792536808,41.429665,-73.4742068,1,turning_circle,,POINT (-73.4742068 41.429665)
1792537543,41.4274645,-73.4727434,3,,,POINT (-73.4727434 41.4274645)
1792537551,41.4289723,-73.4719169,1,,,POINT (-73.4719169 41.4289723)
1792537553,41.4272709,-73.473419,3,,,POINT (-73.473419 41.4272709)
1792537556,41.426201,-73.4734672,1,,,POINT (-73.4734672 41.426201)
1792537557,41.4273875,-73.4729284,3,,,POINT (-73.4729284 41.4273875)
1792538358,41.4472704,-73.49154,1,turning_circle,,POINT (-73.49154 41.4472704)
1792538370,41.44643,-73.490789,1,,,POINT (-73.490789 41.44643)
1792538375,41.4439257,-73.4877272,3,,,POINT (-73.4877272 41.4439257)
1799632917,41.4472401,-73.4341896,1,,,POINT (-73.4341896 41.4472401)
1799632920,41.4466419,-73.4319244,1,,,POINT (-73.4319244 41.4466419)
1799632925,41.45112,-73.4392413,1,turning_circle,,POINT (-73.4392413 41.45112)
1799632929,41.4510773,-73.435213,1,,,POINT (-73.435213 41.4510773)
1799635935,41.453125,-73.4391204,1,,,POINT (-73.4391204 41.453125)
1799635942,41.4526281,-73.438144,1,,,POINT (-73.438144 41.4526281)
1799639663,41.4586165,-73.4436529,1,,,POINT (-73.4436529 41.4586165)
1799639671,41.4504224,-73.4455326,1,,,POINT (-73.4455326 41.4504224)
1799642690,41.4435268,-73.4442418,1,,,POINT (-73.4442418 41.4435268)
1799642692,41.4440355,-73.4450505,1,,,POINT (-73.4450505 41.4440355)
1799642707,41.442294,-73.4408681,1,turning_circle,,POINT (-73.4408681 41.442294)
1799644846,41.4396722,-73.4419804,1,turning_circle,,POINT (-73.4419804 41.4396722)
1895700832,41.4051022,-73.461274,3,motorway_junction,5,POINT (-73.461274 41.4051022)
1895700835,41.4214179,-73.419607,3,,,POINT (-73.419607 41.4214179)
1897236441,41.3802779,-73.4746065,3,motorway_junction,8,POINT (-73.4746065 41.3802779)
1950038978,41.3861381,-73.4938412,1,,,POINT (-73.4938412 41.3861381)
1974847270,41.4224136,-73.4198595,3,,,POINT (-73.4198595 41.4224136)
1978729016,41.3866979,-73.5374485,3,,,POINT (-73.5374485 41.3866979)
1978729038,41.3867448,-73.5370215,3,,,POINT (-73.5370215 41.3867448)
1978729071,41.3894306,-73.5323955,3,,,POINT (-73.5323955 41.3894306)
1978729167,41.3865118,-73.5369594,3,,,POINT (-73.5369594 41.3865118)
2017653096,41.3879265,-73.4769613,4,traffic_signals,,POINT (-73.4769613 41.3879265)
2017662535,41.3926806,-73.4778313,3,,,POINT (-73.4778313 41.3926806)
2025947495,41.3912712,-73.5216649,3,,,POINT (-73.5216649 41.3912712)
2025958193,41.3878793,-73.4836139,1,,,POINT (-73.4836139 41.3878793)
2025981771,41.3939333,-73.5171927,3,,,POINT (-73.5171927 41.3939333)
2026024923,41.410808,-73.4545324,3,,,POINT (-73.4545324 41.410808)
2031553161,41.3786004,-73.4782203,1,,,POINT (-73.4782203 41.3786004)
2031553194,41.3779397,-73.4775633,3,,,POINT (-73.4775633 41.3779397)
2031953236,41.4262158,-73.4133849,3,,,POINT (-73.4133849 41.4262158)
2321208805,41.3980721,-73.5242925,3,,,POINT (-73.5242925 41.3980721)
2321208852,41.3980428,-73.5304482,1,turning_circle,,POINT (-73.5304482 41.3980428)
2351556127,41.3837195,-73.5134699,1,,,POINT (-73.5134699 41.3837195)
2351556195,41.3834689,-73.5134281,3,,,POINT (-73.5134281 41.3834689)
2554233426,41.4462356,-73.4318104,1,,,POINT (-73.4318104 41.4462356)
2554233427,41.4460804,-73.4323531,3,,,POINT (-73.4323531 41.4460804)
2568533510,41.4165322,-73.4387,1,,,POINT (-73.4387 41.4165322)
2904963793,41.3975449,-73.4600397,3,,,POINT (-73.4600397 41.3975449)
2904963795,41.3961126,-73.4566604,3,,,POINT (-73.4566604 41.3961126)
2904963796,41.3970879,-73.4601685,3,,,POINT (-73.4601685 41.3970879)
2904968542,41.3973059,-73.4522022,3,,,POINT (-73.4522022 41.3973059)
2904968545,41.3973152,-73.4509226,3,,,POINT (-73.4509226 41.3973152)
2904968549,41.3973763,-73.4516631,3,,,POINT (-73.4516631 41.3973763)
2927394230,41.3538548,-73.4809748,1,turning_circle,,POINT (-73.4809748 41.3538548)
2927402025,41.3370285,-73.4658924,3,,,POINT (-73.4658924 41.3370285)
2927402035,41.3371814,-73.4655726,3,,,POINT (-73.4655726 41.3371814)
2934235963,41.348593,-73.4432443,3,,,POINT (-73.4432443 41.348593)
2934235969,41.3480995,-73.4458907,1,,,POINT (-73.4458907 41.3480995)
2934246631,41.3919729,-73.5024556,3,,,POINT (-73.5024556 41.3919729)
2963634509,41.3936576,-73.41997,3,,,POINT (-73.41997 41.3936576)
2963643158,41.3957883,-73.4618559,3,,,POINT (-73.4618559 41.3957883)
2963647527,41.3853399,-73.4642005,1,,,POINT (-73.4642005 41.3853399)
2963647530,41.3861009,-73.4630875,3,,,POINT (-73.4630875 41.3861009)
2963647639,41.3849941,-73.4632753,3,,,POINT (-73.4632753 41.3849941)
2963647644,41.3841852,-73.4652823,3,,,POINT (-73.4652823 41.3841852)
2963647651,41.386189,-73.4640606,3,,,POINT (-73.4640606 41.386189)
2963657882,41.3869343,-73.4574993,3,,,POINT (-73.4574993 41.3869343)
2963657883,41.3862767,-73.457793,3,,,POINT (-73.457793 41.3862767)
2963660343,41.3894271,-73.4524263,3,,,POINT (-73.4524263 41.3894271)
2963660346,41.3890884,-73.4521847,3,,,POINT (-73.4521847 41.3890884)
2988777765,41.4239053,-73.4241403,3,,,POINT (-73.4241403 41.4239053)
2988777766,41.4240501,-73.424033,3,,,POINT (-73.424033 41.4240501)
2988777771,41.4233019,-73.4248967,1,,,POINT (-73.4248967 41.4233019)
3128614421,41.3854365,-73.5365033,3,,,POINT (-73.5365033 41.3854365)
3128618551,41.3901801,-73.5331401,1,turning_circle,,POINT (-73.5331401 41.3901801)
3128618552,41.3889351,-73.5343895,1,turning_circle,,POINT (-73.5343895 41.3889351)
3128618553,41.3893259,-73.5346784,3,,,POINT (-73.5346784 41.3893259)
3128618564,41.3887292,-73.533926,2,,,POINT (-73.533926 41.3887292)
3128618568,41.3888009,-73.5327065,2,,,POINT (-73.5327065 41.3888009)
3128618570,41.3888767,-73.5321299,3,,,POINT (-73.5321299 41.3888767)
3128618573,41.3888619,-73.5322045,4,,,POINT (-73.5322045 41.3888619)
3128618575,41.3883882,-73.5319445,3,,,POINT (-73.5319445 41.3883882)
3128618579,41.3889868,-73.532196,3,,,POINT (-73.532196 41.3889868)
3128618580,41.3883503,-73.5321335,3,,,POINT (-73.5321335 41.3883503)
3128619132,41.3856906,-73.5371071,3,,,POINT (-73.5371071 41.3856906)
3128619153,41.3855122,-73.5364681,3,,,POINT (-73.5364681 41.3855122)
3133610590,41.4280043,-73.5305943,1,turning_circle,,POINT (-73.5305943 41.4280043)
3133610643,41.4291032,-73.5276491,3,,,POINT (-73.5276491 41.4291032)
3139974645,41.398908,-73.4487172,3,,,POINT (-73.4487172 41.398908)
3139974651,41.3991365,-73.4480689,3,,,POINT (-73.4480689 41.3991365)
3213679338,41.3813368,-73.4543754,3,,,POINT (-73.4543754 41.3813368)
3213681006,41.3632699,-73.446739,1,,,POINT (-73.446739 41.3632699)
